"gene_id" "gene_length" "fpkm" "tpm"
"1" "Zm00001d000001" 10060 1.47183449555637 3.32694041293565
"2" "Zm00001d000002" 109804 0.015864261909774 0.0358596392653997
"3" "Zm00001d000003" 601 0 0
"4" "Zm00001d000004" 682 8.78003737268564 19.8464305942438
"5" "Zm00001d000005" 6885 2.32451011226309 5.25433169022332
"6" "Zm00001d000006" 960 4.19612619436267 9.48493995483232
"7" "Zm00001d000008" 891 16.1292538401928 36.4586280546107
"8" "Zm00001d000009" 5792 0 0
"9" "Zm00001d000011" 72720 0.188640406918097 0.426403508807019
"10" "Zm00001d000012" 938 2.90171810824365 6.5590548872234
"11" "Zm00001d000013" 1431 0 0
"12" "Zm00001d000016" 746 0 0
"13" "Zm00001d000017" 867 1.00459020457948 2.27077960201727
"14" "Zm00001d000018" 1839 0.296009960362429 0.669102064623768
"15" "Zm00001d000019" 198 55.5359535633913 125.533685233489
"16" "Zm00001d000020" 908 17.5059247351432 39.5704602949546
"17" "Zm00001d000021" 6392 29.1768663705709 65.9515021180301
"18" "Zm00001d000023" 47792 0.305258413509676 0.690007304054976
"19" "Zm00001d000025" 329 0 0
"20" "Zm00001d000026" 766 0.142131153291516 0.321273811186191
"21" "Zm00001d000027" 30954 0.0140689362823934 0.0318014782410832
"22" "Zm00001d000028" 1547 2.1816718591211 4.93145954778751
"23" "Zm00001d000029" 11116 4.7110160944266 10.64879908567
"24" "Zm00001d000030" 3242 19.0745093224243 43.1160949911715
"25" "Zm00001d000032" 356 0.305821526464331 0.691280166765793
"26" "Zm00001d000034" 7042 2.58189454577641 5.83612446386823
"27" "Zm00001d000035" 1377 2.92540388278008 6.61259430402253
"28" "Zm00001d000036" 2314 0.047049465609897 0.106350794887045
"29" "Zm00001d000037" 1568 0.208301907056062 0.470846440118538
"30" "Zm00001d000038" 2466 1.3244825233735 2.99386544244066
"31" "Zm00001d000039" 4516 2.07330200492293 4.68649990825986
"32" "Zm00001d000040" 565 3.27580863391527 7.40465056507359
"33" "Zm00001d000041" 960 2.83522040159639 6.40874321272452
"34" "Zm00001d000042" 11133 0.410728776043715 0.928412921358317
"35" "Zm00001d000044" 693 0 0
"36" "Zm00001d000045" 956 6.94688312625461 15.702761612433
"37" "Zm00001d000046" 1968 8.24288467976319 18.6322485599211
"38" "Zm00001d000051" 875 0 0
"39" "Zm00001d000052" 9917 0.680658740760382 1.53856366248408
"40" "Zm00001d000053" 2830 5.03967940218746 11.3917109036359
"41" "Zm00001d000055" 3356 1.26520443189236 2.85987301411689
"42" "Zm00001d000058" 368 0 0
"43" "Zm00001d000060" 1336 24.0399526267096 54.3400023306465
"44" "Zm00001d000061" 1327 0 0
"45" "Zm00001d000062" 654 0 0
"46" "Zm00001d000064" 1054 0 0
"47" "Zm00001d000065" 573 0.38000859832915 0.858972912281403
"48" "Zm00001d000066" 842 10.2148748340651 23.0897427673648
"49" "Zm00001d000067" 499 0.218181289421446 0.493177834406057
"50" "Zm00001d000070" 666 0.326944334598503 0.739026244350216
"51" "Zm00001d000071" 1939 2.91973599685801 6.59978259266032
"52" "Zm00001d000072" 17497 1.12002305628589 2.53170446855758
"53" "Zm00001d000074" 4035 10.2531687980408 23.1763025923362
"54" "Zm00001d000076" 20012 0.0598439485126085 0.135271493756489
"55" "Zm00001d000077" 26071 0.542879837550122 1.22712769429331
"56" "Zm00001d000079" 697 0.156201525712054 0.353078535679515
"57" "Zm00001d000080" 76646 0.330966834240056 0.748118718170407
"58" "Zm00001d000081" 1069 0.101845148195792 0.230211168726494
"59" "Zm00001d000082" 774 0 0
"60" "Zm00001d000083" 4952 0 0
"61" "Zm00001d000085" 7567 0.892043442859879 2.01637846449776
"62" "Zm00001d000086" 1144 0.571009423538295 1.2907119197655
"63" "Zm00001d000087" 22591 0.0240964241116599 0.0544676506946621
"64" "Zm00001d000089" 2076 0 0
"65" "Zm00001d000092" 677 0.321632092825116 0.72701843240361
"66" "Zm00001d000093" 1589 1.43884312891588 3.25236659958532
"67" "Zm00001d000094" 5628 0.135413511718037 0.306089228070425
